imdb_title_id,mean_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1
tt1465490,6.1,10,7,23,60,86,41,18,5,4,7
tt1465491,6.3,28,14,32,31,39,22,14,7,7,18
tt1465493,5.3,57,26,43,69,97,113,79,71,42,48
tt1465495,7.2,29,13,20,30,14,8,2,2,4,7
tt1465496,5.4,38,12,26,62,81,106,52,33,19,43
tt1465499,5.5,48,13,34,58,106,93,76,37,23,33
tt1465505,6.5,403,353,917,1303,1079,579,301,188,122,199
tt1465513,6.3,68,19,33,41,48,38,21,21,21,22
tt1465518,6.5,117,58,117,239,215,125,53,25,22,34
tt1465519,5.3,223,46,68,114,181,265,223,151,111,150
tt1465522,7.7,18971,22806,51820,42772,16213,5395,1982,978,535,978
tt1465533,6.1,504,357,1016,2127,2975,1769,734,364,158,189
tt1465840,5.1,29,6,19,35,55,94,56,40,28,27
tt1465854,7.1,12,15,27,43,17,7,5,0,1,4
tt1466054,7.2,353,256,362,360,199,78,42,27,13,146
tt1466068,6.1,30,8,6,18,30,27,15,6,7,10
tt1466568,5.0,10,6,12,29,51,79,46,27,15,18
tt1466569,5.1,12,4,11,18,26,27,14,23,14,14
tt1466570,7.0,40,23,75,115,79,29,7,12,0,6
tt1466572,5.8,13,10,17,43,39,31,20,5,7,15
tt1467061,6.3,28,31,118,320,273,109,52,20,15,35
tt1467088,5.5,110,59,132,243,373,367,236,129,92,102
tt1467134,5.1,44,17,40,75,106,144,81,71,49,53
tt1467265,5.7,9,11,14,32,32,25,14,10,10,12
tt1467269,6.7,5,11,22,32,16,4,3,2,3,5
tt1467273,7.2,262,471,1262,1580,678,257,90,34,33,43
tt1467280,7.1,71,16,36,39,32,19,11,4,4,20
tt1467290,6.4,12,6,32,49,45,16,8,6,2,11
tt1467299,6.3,19,12,48,80,81,35,21,6,4,16
tt1467304,4.5,3293,1461,3842,7009,9953,11255,9411,7479,6135,11957
tt1467305,5.4,42,4,13,13,12,3,9,2,22,39
tt1467306,7.0,209,131,241,368,234,121,44,19,17,54
tt1467385,7.0,20,31,59,96,42,17,5,4,5,7
tt1467388,6.8,670,210,357,402,358,219,138,75,65,244
tt1467391,4.6,156,39,95,220,326,474,398,342,275,313
tt1467405,6.6,27,27,66,102,72,32,11,10,7,15
tt1468313,5.2,60,32,65,99,116,146,107,68,34,98
tt1468321,7.0,86,90,244,329,165,84,34,24,8,20
tt1468322,7.0,71,51,126,200,116,47,18,7,4,21
tt1468324,6.5,50,23,56,90,93,58,24,13,11,13
tt1468337,6.9,15,10,33,40,25,15,5,3,1,5
tt1468381,6.1,131,59,127,217,267,160,87,50,30,88
tt1468387,7.0,573,241,343,414,300,188,98,71,60,167
tt1468700,7.1,380,87,223,448,272,150,56,34,25,50
tt1468703,3.4,105,6,17,30,56,73,116,164,227,336
